abbreviated,full_text
ABLY,ASSEMBLY
ADMIN,ADMINISTRATION
APT,APARTMENT
APTS,APARTMENTS
AVE,AVENUE
AYE,AYER RAJAH EXPRESSWAY
BKE,BUKIT TIMAH EXPRESSWAY
BLDG,BUILDING
BLK,BLOCK
BLVD,BOULEVARD
BO,BRANCH OFFICE
BR,BRANCH
BT,BUKIT
BUDD,BUDDHIST
CATH,CATHEDRAL
CBD,CENTRAL BUSINESS DISTRICT
CC,COMMUNITY CENTRE/CLUB
CH,CHURCH
CHBRS,CHAMBERS
CINE,CINEMA
CINES,CINEMAS
CL,CLOSE
CLUBHSE,CLUBHOUSE
CONDO,CONDOMINIUM
CP,CARPARK
CPLX,COMPLEX
CRES,CRESCENT
CT,COURT
CTE,CENTRAL EXPRESSWAY
CTR,CENTRE
CTR/APTS,CENTRE/APARTMENTS
CTRL,CENTRAL
C'WEALTH,COMMONWEALTH
DEPT,DEPARTMENT
DEVT,DEVELOPMENT
DIV,DIVISION
DR,DRIVE
ECP,EAST COAST EXPRESSWAY
EDN,EDUCATION
ENGRG,ENGINEERING
ENV,ENVIRONMENT
ERP,ELECTRONIC ROAD PRICING
EST,ESTATE
E'WAY,EXPRESSWAY
FB,FOOD BRIDGE
FC,FOOD CENTRE
FTY,FACTORY
GDN,GARDEN
GDNS,GARDENS
GOVT,GOVERNMENT
GR,GROVE
HOSP,HOSPITAL
HQR,HEADQUARTER
HQRS,HEADQUARTERS
HS,HISTORIC SITE
HSE,HOUSE
HTS,HEIGHTS
IND,INDUSTRIAL
INST,INSTITUTE
INSTN,INSTITUTION
INTL,INTERNATIONAL
JC,JUNIOR COLLEGES
JLN,JALAN
JNR,JUNIOR
KG,KAMPONG
KJE,KRANJI EXPRESSWAY
KM,KILOMETRE
KPE,KALLANG PAYA LEBAR EXPRESSWAY
LIB,LIBRARY
LK,LINK
LOR,LORONG
MAI,MAISONETTE
MAIS,MAISONETTES
MAN,MANSION
MANS,MANSIONS
MCE,MARINA COASTAL EXPRESSWAY
MET,METROPOLITAN
METH,METHODIST
MIN,MINISTY
MJD,MASJID
MKT,MARKET
MT,MOUNT
NATL,NATIONAL
NPC,NEIGHBOURHOOD POLICE CENTRES
NPP,NEIGHBOURHOOD POLICE POSTS
NTH,NORTH
O/S,OPEN SPACE
P,PULAU
P/G,PLAYGROUND
PIE,PAN ISLAND EXPRESSWAY
PK,PARK
PL,PLACE
POLY,POLYCLINIC
PRESBY,PRESBYTERIAN
PRI,PRIMARY
PT,POINT
RD,ROAD
REDEVT,REDEVELOPMENT
S,SUNGEI
SCH,SCHOOL
SEC,SECONDARY
SLE,SELETAR EXPRESSWAY
S'PORE,SINGAPORE
SQ,SQUARE
ST,STREET
STH,SOUTH
STN,STATION
TC,TOWN COUNCIL
TECH,TECHNICAL
TER,TERRACE
TG,TANJONG
TOWNHSE,TOWNHOUSE
TPE,TAMPINES EXPRESSWAY
U/C,UNDER CONSTRUCTION
UPP,UPPER
VOC,VOCATIONAL
WAREHSE,WAREHOUSE